,precision,recall,f1-score,support
Space Environment,0.6881720430107527,0.758893280632411,0.7218045112781954,253.0
Project Organisation / Documentation,0.4461538461538462,0.3258426966292135,0.37662337662337664,89.0
Propulsion,0.7469879518072289,0.5344827586206896,0.6231155778894473,116.0
Parameter,0.46464646464646464,0.38016528925619836,0.41818181818181815,121.0
Project Scope,0.6460176991150443,0.6293103448275862,0.6375545851528385,116.0
System engineering,0.6470588235294118,0.6962025316455697,0.6707317073170732,158.0
Power,0.5421052631578948,0.8512396694214877,0.662379421221865,121.0
GN&C,0.7966101694915254,0.7121212121212122,0.752,132.0
Structure & Mechanism,0.3700787401574803,0.5529411764705883,0.44339622641509435,85.0
Quality control,0.7297297297297297,0.72,0.7248322147651006,225.0
Safety / Risk (Control),0.6181818181818182,0.7391304347826086,0.6732673267326733,92.0
Materials / EEEs,0.7209302325581395,0.577639751552795,0.6413793103448275,161.0
Thermal,0.6530612244897959,0.6736842105263158,0.6632124352331606,95.0
Nonconformity,0.8076923076923077,0.3559322033898305,0.49411764705882355,59.0
Telecom.,0.7619047619047619,0.6620689655172414,0.7084870848708487,145.0
Cleanliness,0.7291666666666666,0.5,0.5932203389830508,70.0
OBDH,0.7738095238095238,0.8369098712446352,0.8041237113402062,233.0
Measurement,0.8857142857142857,0.8454545454545455,0.8651162790697674,110.0
micro avg,0.6707627118644067,0.6648467030659386,0.6677916051465935,2381.0
macro avg,0.668223419545371,0.6306677190051628,0.6374190873598982,2381.0
weighted avg,0.6812833923426458,0.6648467030659386,0.6649633179759412,2381.0
